league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,saves,shots_faced,goal_assists,shots_on_target,total_goals,total_shots,offsides
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Alejandro Francés,True,Substitute,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Arnau Martínez,True,Right Back,2,start,58,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Bojan Miovski,True,Forward,9,start,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Daley Blind,True,Left Back,3,start,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,David López,True,Center Right Defender,5,start,end,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,1.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Gibert Jordana,True,Substitute,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Hugo Rincón,True,Substitute,0,58,end,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Iván Martín,True,Substitute,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Jhon Solis,True,Center Midfielder,4,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Joel Roca,True,Left Midfielder,8,start,end,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,1.0,1.0,1.0,0.0
ESP-La Liga,2526,2025-08-15 Girona-Rayo Vallecano,Girona,Juan Carlos,True,Substitute,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
