league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ESP-La Liga,2526,Alaves,Abderrahmane Rebbach,4,2025,158,11825,D F M S,30,1479,1,2.9569592121988535,1,2.9569592121988535,4,4.949423234909773,34,30,8,0,6.177632927894592,2.1951087564229965
ESP-La Liga,2526,Alaves,Aitor Mañas,4,2025,158,14222,S,9,105,0,1.0849704146385193,0,1.0849704146385193,0,0.03065093606710434,2,2,0,0,0.8037964031100273,0.2583816945552826
ESP-La Liga,2526,Alaves,Ander Guevara,4,2025,158,6126,M S,25,581,1,0.6449843011796474,1,0.6449843011796474,1,0.8938102275133133,5,6,2,1,2.7921956814825535,1.921984908170998
ESP-La Liga,2526,Alaves,Antonio Blanco,4,2025,158,9280,M,36,3137,2,1.2193963313475251,2,1.2193963313475251,3,1.585560267791152,40,22,9,0,10.952894285321236,9.485621688887477
ESP-La Liga,2526,Alaves,Antonio Martínez,4,2025,158,6400,F S,37,2750,14,12.836471602320671,13,12.09319394826889,3,3.8200031016021967,93,24,2,0,15.361863365396857,3.4809861443936825
ESP-La Liga,2526,Alaves,Antonio Sivera,4,2025,158,6075,GK,38,3420,0,0.0,0,0.0,0,0.0,0,0,3,0,3.3321731872856617,3.3321731872856617
ESP-La Liga,2526,Alaves,Calebe,4,2025,158,13764,D F M S,19,767,0,0.14146154932677746,0,0.14146154932677746,0,0.45056361611932516,5,12,2,0,3.171772821806371,2.6320650037378073
ESP-La Liga,2526,Alaves,Carles Aleñá,4,2025,158,5058,F M S,34,2002,0,2.2455996740609407,0,2.2455996740609407,4,4.067961330525577,29,37,5,0,7.837335070595145,3.8911409117281437
ESP-La Liga,2526,Alaves,Carlos Ballestero,4,2025,158,14117,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ESP-La Liga,2526,Alaves,Carlos Benavídez,4,2025,158,11826,D S,13,311,0,0.22582579404115677,0,0.22582579404115677,0,0.10448137670755386,3,3,0,1,0.9414566792547703,0.6960180234164
