team,partidos,puntos,xpuntos,goles_a_favor,goles_en_contra,xg_favor,xg_contra,np_xg_favor,ppda_promedio,deep_completions_total
Barcelona,38,94,79.0609,95,36,99.667925,50.710138,92.235163,7.3137156420740785,438
Real Madrid,38,86,75.9341,77,35,81.485508,44.98583,70.966896,11.380770060106167,381
Villarreal,38,72,63.2759,72,46,68.839659,53.666982,62.893443,16.37660889210659,289
Atletico Madrid,38,69,61.8281,62,44,68.105439,53.138565,65.132349,11.675792089297481,351
Real Betis,38,60,59.9613,59,48,61.297745,50.321923,59.067918,15.743586074272313,262
Celta Vigo,38,54,51.3689,53,48,51.991857,56.3444721,46.045642,14.510581273373026,263
Getafe,38,51,42.9512,32,38,33.9627569,48.312659000000004,30.9782609,11.512524688471052,109
Rayo Vallecano,38,50,55.8956,41,44,59.976055,56.34395,57.002933,8.865585026611614,185
Valencia,38,49,53.5428,46,55,53.954595,55.530233,47.265098,13.207327263211136,189
Espanyol,38,46,44.1313,43,55,52.380573,62.670768,48.664304,13.126416367211347,171
Real Sociedad,38,46,54.608000000000004,59,61,59.69832,60.536733,53.008944,9.848472286879405,229
Athletic Club,38,45,56.9007,43,58,55.653369,47.122398,51.19382,10.510222623679217,258
Alaves,38,43,52.583,44,56,53.576109,52.97264,48.373158,11.161385364793704,168
Elche,38,43,41.6701,49,57,48.165307,68.9271509,44.4490381,8.557274617394407,206
Sevilla,38,43,37.8838,46,60,39.647959,61.323829,35.092745,9.617935877180491,201
Levante,38,42,47.788,47,61,59.601811,66.651365,55.007405,13.72111149907105,208
Mallorca,38,42,39.7851,47,57,47.5117721,65.845922,42.0680921,13.226640210388156,154
Osasuna,38,42,53.3607,44,50,51.463089,51.639958,45.516868,13.195184418070868,192
Girona,38,41,45.108200000000004,39,55,52.132348,65.82324,46.18612,15.099072987065943,233
Real Oviedo,38,29,36.0795,26,60,41.499768,67.743209,39.26993,13.685807198541905,147
